,ds,activity_calories_yhat,distance_yhat,floors_yhat,mins_active_high_yhat,mins_active_light_yhat,mins_active_med_yhat,mins_sedentary_yhat,steps_yhat,total_calories_yhat
225,2018-12-07,2088.07815385473,7.423979799454049,19.656802693167133,81.35159415232569,211.88990172481996,14.341043910676984,676.6929953709564,14372.775017363974,3586.705763939784
226,2018-12-08,2224.894052474629,7.98416468226617,20.67227032852292,87.60497601712382,221.66820581362953,20.323848417886982,572.4811870883709,15224.095045327867,3643.4881706858378
227,2018-12-09,2312.260852383197,8.21030994810503,27.51937427642047,92.37062344424595,231.49125882765688,20.62739549351573,536.6769749859172,15715.555207620477,3605.2659905787586
228,2018-12-10,1880.7262752657832,7.146613384239277,11.392198361913941,77.41064953243938,192.54242201316902,9.994397142690763,621.5616840257983,13227.954368266812,3253.7049098073753
229,2018-12-11,1956.4004769382686,7.527452750617614,14.836227989410302,84.07411169410962,198.72292165540932,7.7674541232583465,652.54855986076,13921.92848080775,3272.439473588208
230,2018-12-12,1953.9349473218483,7.515321459013362,13.882303271406919,84.24615749193141,192.09597877868163,8.812027860469675,696.7661290175502,13730.221990336113,3193.0775063440506
231,2018-12-13,2176.561237941727,8.24934945497069,14.763808698254243,95.81760615697483,208.70179748193829,9.455167337444024,651.5287267507526,15035.81975768987,3309.7188696038047
232,2018-12-14,2232.4508063248622,8.438547386230464,13.044005179364888,103.71213281620051,199.7908088574547,14.379292121025326,629.7746894277182,15323.464343371008,3308.0868903042647
233,2018-12-15,2356.4928272729844,8.886178048546697,15.15765050278326,107.86806975104135,212.84832895675322,20.547476069958883,520.9992967167402,16009.416556001186,3352.9780577673296
234,2018-12-16,2427.659740811781,8.981271538236482,23.154214080983564,110.14596489440684,226.0683301251939,21.00721373475485,481.1053830422709,16324.587759196193,3308.5325535170696
235,2018-12-17,1977.1559364880422,7.771379263368156,8.196186617045678,92.37110504630367,190.56008760422776,10.499763253038017,562.4208910978592,13656.49649090251,2957.3775194355867
236,2018-12-18,2031.836568411976,7.994641531267574,12.797837493455116,95.96359624443534,200.15138252410486,8.367066782963299,590.3957854414505,14172.661325594901,2983.9732593844055
237,2018-12-19,2007.1631824169665,7.8176247138745065,12.960004396838212,92.88567315603484,196.83434882565524,9.474715924020815,632.1851577078227,13812.656986307496,2920.5832845186105
238,2018-12-20,2207.217067487712,8.383734555380862,14.888073445734062,101.10928769328129,216.5820919754638,10.150652258434256,585.1197018909661,14966.030006761519,3061.762461779112
